Username,Radar,Construction,Tech,Hero,Mobilization,Buster
1Thanh,"18,863,527","39,575,550","10,145,700","7,234,801","5,309,840","3,190,468"
A Aron1,"11,453,938","9,368,550","14,291,150","21,250,038","30,609,880","6,304,761"
Alan Joshua,"6,053,245","12,562,650","12,838,700","34,175,183","20,021,840","7,481,844"
Alex Negan 88,"7,468,529","8,140,500","18,107,550","28,293,008","12,947,220","8,676,778"
Apocalypse37,"49,627,813","33,055,200","10,437,300","45,410,884","13,503,590","18,578,099"
Bbarn,"8,365,310","7,201,950","8,429,200","9,178,737","8,291,265","3,671,535"
Bea Trice,"7,372,772","10,013,250","12,250,900","15,272,000","11,070,650","4,274,700"
bebe erik,"19,087,862","7,209,750","10,750,350","15,062,382",,
BETTONE,"18,052,740","12,103,950","12,312,150","10,566,620","32,705,820","17,307,274"
Bnk89,"37,002,569","11,474,850","20,899,400","34,714,642","12,587,370","10,217,046"
BPS1991,"8,667,188","8,628,450","9,195,650","17,934,500","10,962,980","3,525,000"
BridlingSpark94,"7,925,035","8,402,100","10,879,750","41,766,520","8,540,390","7,822,483"
Brightcobalion,"14,163,434","19,257,450","34,147,550","128,917,990","10,329,370","8,521,665"
Caro144,"38,246,460","18,449,100","25,883,200","16,675,556","17,943,730","10,657,877"
CGSky,"16,508,300","21,387,600","25,989,350","24,098,938","16,551,350","9,286,303"
Chucky,"12,196,759","12,817,950","10,553,300","54,305,991","38,868,090","23,639,420"
Cidesan,"8,246,448","26,718,150","27,138,500","50,480,697","22,069,610","14,554,336"
Corcor,"19,567,207","8,163,150","16,864,000","22,323,708","31,870,890","12,725,550"
D3DÉ,"7,336,250",0,"8,354,550","16,472,717","17,304,200","2,864,064"
DABALTMAN,0,"6,978,450","9,518,100",0,"2,637,500","4,326,000"
Dan105,,"13,848,000","38,406,050","26,237,065","30,891,630","6,137,330"
DangerHunter,"11,808,068","12,756,150","18,314,550","19,515,000","23,336,610","8,503,788"
Dansir68,"17,447,985","10,685,550","12,948,650","24,414,704","23,013,850","10,305,561"
diddlychip,"20,508,372","15,702,050","17,430,750","18,487,509",0,"3,576,216"
DingDing,"11,267,633","8,802,750","9,434,150","34,247,674","16,787,990","7,726,245"
DM39,"13,496,243","9,601,950","7,673,300","21,920,393","9,966,290","9,824,216"
Don Haitham,"5,732,699","6,749,250","7,578,000","14,127,269","8,041,700","7,280,215"
Dona Benta,"9,139,559","9,990,600","14,428,650","16,697,773","8,689,270","4,704,300"
Donkeyleg,"10,228,092","18,504,300","7,522,250","19,062,509","14,020,680","7,237,751"
DurpaDurpa,"8,470,545","8,834,850","7,801,050","11,074,000","9,077,630","3,700,500"
EduardoRR2,"14,128,422","14,445,900","8,363,250","14,855,000","9,048,390","5,595,690"
E N I A H,"2,922,620","10,359,450","7,204,750","17,368,663","23,136,920","8,096,747"
EXTERMÎNADOR,"13,490,551","15,209,250","19,263,650","36,391,506","16,449,230","8,304,460"
FabianoSp2,"18,371,221","16,289,850","17,119,450","21,292,831","14,069,090","10,886,073"
fauxsee,"7,844,063","7,358,250","7,561,800","19,802,973","4,814,390","8,535,207"
Fralda Cheia,"25,428,569","15,564,600","8,953,950","28,363,430","15,583,880","9,882,949"
FSU 69,"12,574,403","14,066,400","12,813,700","92,001,062","35,999,070","10,268,303"
General Pukka,"14,529,862","9,355,650","8,278,700","16,416,919","14,704,600","6,981,786"
Guilherme DellaG,"23,708,777","7,962,750","11,844,000","16,720,938","13,121,740","15,537,420"
HorseClock,"15,503,548","8,454,750","18,961,000","90,952,699","30,586,050","10,767,135"
iForcexD,"17,825,049","10,336,050","15,118,300","29,551,485","8,041,630","3,464,850"
IkkiMinami,"7,861,429","12,583,350","7,902,000","27,031,009","22,072,860","10,815,915"
Iriss7,"28,079,685","14,039,250","11,221,400","37,299,175","17,458,230","7,527,618"
JayGee,"9,403,468","18,376,200","10,922,450","24,572,035","21,671,290","6,146,980"
JoeySnacks,"8,266,289","7,221,600","10,813,850","9,246,009","7,213,530","3,525,000"
Kenny45,"43,744,004","13,652,850","29,355,050","28,433,983","32,513,960","11,651,473"
King of Ants,"13,055,416","11,016,750","26,549,450","62,091,930","63,086,320","16,861,923"
Laceyloulou,"12,329,040","14,525,550","23,069,850","25,051,599","41,465,240","9,111,164"
Livmas,"7,308,083","2,475,000","9,073,350","7,443,881","7,614,510","5,339,100"
llSkyfiree,"10,766,689","7,816,500","16,005,400","16,753,438","10,039,970","4,736,431"
LoveYouu,"9,219,805","15,452,850","8,145,950","16,666,660","6,648,090","1,731,900"
LSD MHauck,"13,356,767","10,179,750","10,907,700","25,272,112","8,605,130","4,663,800"
luchidor1,"9,636,875","7,725,900","7,405,850","10,129,000","16,387,520","9,347,307"
Luddy,"12,137,209","10,340,100","10,673,400","32,066,263","7,651,170","8,063,668"
Lunitunn,"9,046,015","15,382,500","10,349,250","30,918,796","30,766,050","7,336,348"
Lwozin,"7,892,712","16,578,450","14,435,600","17,399,187","8,311,180","7,201,475"
M U R K,"1,474,625","8,175,373","16,807,624","7,394,500","3,132,468","5,302,799"
Magnus2112,"11,370,001","7,223,702","22,814,165","10,924,125","14,877,226","9,682,334"
MARCIM,"14,040,126","25,110,150","9,020,900","32,852,962","15,103,460","9,689,645"
martu1991,"13,384,435","9,154,800","8,417,750","8,978,893","14,457,850","15,988,622"
Mod Osborne,"12,191,014","8,514,900","17,766,250","20,985,000","25,346,940","11,645,648"
Moist6,"9,303,425","19,591,950","15,253,650","8,026,464","27,058,710","3,750,000"
Mustang4ever,"11,755,657","10,777,800","12,006,050","50,088,580","22,982,110","10,069,404"
N03J13,"7,638,753","7,293,150","11,021,500","11,039,393","15,126,820","7,716,182"
OnlyPanz,"21,656,023","8,830,950","25,498,850","35,033,363","22,223,640","10,083,876"
Padre Abdala,"7,923,887","8,969,700","13,545,850","10,464,348","19,984,820",0
Platosletap,"9,698,273","7,568,250","10,093,650","33,977,241","7,681,550","8,494,800"
Queen Nagem,"13,172,133","12,126,000","11,110,250","23,904,500","30,163,440","13,610,628"
Raven2k,"53,763,120","15,122,400","9,124,650","16,798,438","29,384,440","8,538,688"
Red Catfish,"10,278,054","11,429,250","12,451,850","21,416,226","10,674,150","8,180,701"
Remura,"31,748,024","12,240,750","19,834,200","32,477,334","7,348,040","3,687,619"
resooB1,"24,061,622","16,459,200","15,858,700","31,941,000","10,415,680","5,972,112"
Retterz,"15,511,367","7,288,050","16,939,900","20,483,726","7,790,460","5,480,401"
RickNm,"49,137,743","8,863,200","9,165,150","14,575,000","10,163,250","7,974,508"
Romearo,"2,925,002","10,443,900","7,252,900","27,786,694","5,668,230","5,190,594"
Sakura neko,"8,464,233","9,047,250","7,803,700","31,607,045","8,106,500","3,951,357"
saykano,"11,227,262","14,115,000","7,479,450","28,851,224","7,933,210","8,670,925"
sedeug,"10,693,550","11,211,450","25,284,700","13,901,466","10,156,320","8,475,427"
Sekhmetmerti,"22,639,792","11,848,050","22,502,800","34,731,321","42,111,880","11,403,152"
